,Gender,Age Range,Head Size(cm^3),Brain Weight(grams),predictions
50,1,1,3891,1224,1370.080932209867
51,1,1,3793,1350,1335.5736279528426
52,1,1,4270,1335,1503.5326496936652
53,1,1,4063,1390,1430.6447723344404
54,1,1,4012,1400,1412.6868895068053
55,1,1,3458,1225,1217.614985849749
56,1,1,3890,1310,1369.7288168603054
57,1,2,4166,1560,1466.912653339272
58,1,2,3935,1330,1385.574007590572
59,1,2,3669,1222,1291.91132460722
60,1,2,3866,1415,1361.27804847083
61,1,2,3393,1175,1194.7274881282533
62,1,2,4442,1330,1564.0964898182388
63,1,2,4253,1485,1497.5466887511202
64,1,2,3727,1470,1312.3340148817854
65,1,2,3329,1135,1172.192105756319
66,1,2,3415,1310,1202.4740258186057
67,1,2,3372,1154,1187.3330657874624
68,1,2,4430,1510,1559.871105623501
69,1,2,4381,1415,1542.617453494989
70,1,2,4008,1468,1411.2784281085594
71,1,2,3858,1390,1358.4611256743383
72,1,2,4121,1380,1451.0674626090058
73,1,2,4057,1432,1428.5320802370716
74,1,2,3824,1240,1346.4892037892482
75,1,2,3394,1195,1195.0796034778148
76,1,2,3558,1225,1252.8265208058965
77,1,2,3362,1188,1183.8119122918476
78,1,2,3930,1252,1383.8134308427645
79,1,2,3835,1315,1350.3624726344244
80,1,2,3830,1245,1348.601895886617
81,1,2,3856,1430,1357.7568949752153
82,1,2,3249,1279,1144.0228777914012
83,1,2,3577,1245,1259.5167124475645
84,1,2,3933,1309,1384.869776891449
85,1,2,3850,1412,1355.6442028778465
86,1,2,3309,1120,1165.1497987650896
87,1,2,3406,1220,1199.3049876725524
88,1,2,3506,1280,1234.5165226286997
89,1,2,3907,1440,1375.7147778028504
90,1,2,4160,1370,1464.7999612419032
91,1,2,3318,1192,1168.3188369111429
92,1,2,3662,1230,1289.4465171602897
93,1,2,3899,1346,1372.8978550063587
94,1,2,3700,1290,1302.8269004436256
95,1,2,3779,1165,1330.644013058982
96,1,2,3473,1240,1222.896716093171
97,1,2,3490,1132,1228.8826770357161
98,1,2,3654,1242,1286.6295943637979
99,1,2,3478,1270,1224.6572928409785
100,1,2,3495,1218,1230.6432537835235
101,1,2,3834,1430,1350.010357284863
102,1,2,3876,1588,1364.7992019664448
103,1,2,3661,1320,1289.0944018107282
104,1,2,3618,1290,1273.9534417795849
105,1,2,3648,1260,1284.516902266429
106,1,2,4032,1425,1419.7291964980348
107,1,2,3399,1226,1196.8401802256221
108,1,2,3916,1360,1378.883815948904
109,1,2,4430,1620,1559.871105623501
110,1,2,3695,1310,1301.0663236958183
111,1,2,3524,1250,1240.8545989208062
112,1,2,3571,1295,1257.4040203501957
113,1,2,3594,1290,1265.5026733901095
114,1,2,3383,1290,1191.2063346326386
115,1,2,3499,1275,1232.0517151817694
116,1,2,3589,1250,1263.7420966423022
117,1,2,3900,1270,1373.2499703559201
118,1,2,4114,1362,1448.6026551620755
119,1,2,3937,1300,1386.2782382896949
120,1,2,3399,1173,1196.8401802256221
121,1,2,4200,1256,1478.8845752243622
122,1,2,4488,1440,1580.2937958980665
123,1,2,3614,1180,1272.544980381339
124,1,2,4051,1306,1426.4193881397027
125,1,2,3782,1350,1331.7003591076664
126,1,2,3391,1125,1194.0232574291304
127,1,2,3124,1165,1100.008459096217
128,1,2,4053,1312,1427.1236188388257
129,1,2,3582,1300,1261.2772891953718
130,1,2,3666,1270,1290.8549785585355
131,1,2,3532,1335,1243.671521717298
132,1,2,4046,1450,1424.6588113918954
133,1,2,3667,1310,1291.207093908097
134,2,1,2857,1027,1005.9936607633035
135,2,1,3436,1235,1209.8684481593966
136,2,1,3791,1260,1334.8693972537196
137,2,1,3302,1165,1162.6849913181593
138,2,1,3104,1080,1092.9661521049875
139,2,1,3171,1127,1116.5578805256064
140,2,1,3572,1270,1257.7561356997571
141,2,1,3530,1252,1242.967291018175
142,2,1,3175,1200,1117.9663419238523
143,2,1,3438,1290,1210.5726788585196
144,2,1,3903,1334,1374.3063164046046
145,2,1,3899,1380,1372.8978550063587
146,2,1,3401,1140,1197.544410924745
147,2,1,3267,1243,1150.3609540835077
148,2,1,3451,1340,1215.1501784028187
149,2,1,3090,1168,1088.0365372111269
150,2,1,3413,1322,1201.7697951194828
151,2,1,3323,1249,1170.0794136589502
152,2,1,3680,1321,1295.7845934523962
153,2,1,3439,1192,1210.924794208081
154,2,1,3853,1373,1356.700548926531
155,2,1,3156,1170,1111.276150282184
156,2,1,3279,1265,1154.5863382782454
157,2,1,3707,1235,1305.291707890556
158,2,1,4006,1302,1410.5741974094365
159,2,1,3269,1241,1151.0651847826307
160,2,1,3071,1078,1081.346345569459
161,2,1,3779,1520,1330.644013058982
162,2,1,3548,1460,1249.3053673102818
163,2,1,3292,1075,1159.1638378225446
164,2,1,3497,1280,1231.3474844826465
165,2,1,3082,1180,1085.219614414635
166,2,1,3248,1250,1143.6707624418398
167,2,1,3358,1190,1182.4034508936018
168,2,1,3803,1374,1339.0947814484573
169,2,1,3566,1306,1255.6434436023883
170,2,1,3145,1202,1107.4028814370079
171,2,1,3503,1240,1233.4601765800153
172,2,1,3571,1316,1257.4040203501957
173,2,1,3724,1280,1311.277668833101
174,2,1,3615,1350,1272.8970957309004
175,2,1,3203,1180,1127.8255717115735
176,2,1,3609,1210,1270.7844036335316
177,2,1,3561,1127,1253.882866854581
178,2,1,3979,1324,1401.0670829712767
179,2,1,3533,1210,1244.0236370668595
180,2,1,3689,1290,1298.9536315984494
181,2,1,3158,1100,1111.980380981307
182,2,1,4005,1280,1410.222082059875
183,2,1,3181,1175,1120.079034021221
184,2,1,3479,1160,1225.00940819054
185,2,1,3642,1205,1282.4042101690602
186,2,1,3632,1163,1278.8830566734455
187,2,2,3069,1022,1080.642114870336
188,2,2,3394,1243,1195.0796034778148
189,2,2,3703,1350,1303.88324649231
190,2,2,3165,1237,1114.4451884282373
191,2,2,3354,1204,1180.9949894953559
192,2,2,3000,1090,1056.3461557505943
193,2,2,3687,1355,1298.2494008993265
194,2,2,3556,1250,1252.1222901067736
195,2,2,2773,1076,976.4159714001398
196,2,2,3058,1120,1076.7688460251597
197,2,2,3344,1220,1177.4738359997411
198,2,2,3493,1240,1229.9390230844006
199,2,2,3297,1220,1160.924414570352
200,2,2,3360,1095,1183.1076815927247
201,2,2,3228,1235,1136.6284554506103
202,2,2,3277,1105,1153.8821075791225
203,2,2,3851,1405,1355.996318227408
204,2,2,3067,1150,1079.937884171213
205,2,2,3692,1305,1300.0099776471338
206,2,2,3402,1220,1197.8965262743066
207,2,2,3995,1296,1406.7009285642603
208,2,2,3318,1175,1168.3188369111429
209,2,2,2720,955,957.7538578733818
210,2,2,2937,1070,1034.1628887282216
211,2,2,3580,1320,1260.573058496249
212,2,2,2939,1060,1034.8671194273445
213,2,2,2989,1130,1052.4728869054181
214,2,2,3586,1250,1262.6857505936177
215,2,2,3156,1225,1111.276150282184
216,2,2,3246,1180,1142.9665317427168
217,2,2,3170,1178,1116.205765176045
218,2,2,3268,1142,1150.7130694330692
219,2,2,3389,1130,1193.3190267300074
220,2,2,3381,1185,1190.5021039335156
221,2,2,2864,1012,1008.4584682102338
222,2,2,3740,1280,1316.9115144260845
223,2,2,3479,1103,1225.00940819054
224,2,2,3647,1408,1284.1647869168676
225,2,2,3716,1300,1308.4607460366092
226,2,2,3284,1246,1156.3469150260528
227,2,2,4204,1380,1480.293036622608
228,2,2,3735,1350,1315.1509376782772
229,2,2,3218,1060,1133.1073019549956
230,2,2,3685,1350,1297.5451702002035
231,2,2,3704,1220,1304.2353618418715
232,2,2,3214,1110,1131.6988405567497
233,2,2,3394,1215,1195.0796034778148
234,2,2,3233,1104,1138.3890321984177
235,2,2,3352,1170,1180.290758796233
236,2,2,3391,1120,1194.0232574291304
